repository,owner,repo_name,stars,forks,watchers,description,created_at,pushed_at,updated_at,language,size,has_issues,has_projects,has_wiki,has_pages,has_downloads,archived,disabled,private,fork,license,default_branch,open_issues_count,topics,visibility,homepage,collection_failed,contributors_count,top_contributor_commits,releases_count,latest_release_date,languages,primary_language_bytes,dataset_index,dataset_description,dataset_website,dataset_initial_stars,dataset_initial_forks,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
resemble-ai/chatterbox,resemble-ai,chatterbox,12825,1629,12825,SoTA open-source TTS,2025-04-23T08:16:38Z,2025-09-04T21:53:19Z,2025-09-14T23:38:52Z,Python,832,True,True,True,False,True,False,False,False,False,MIT License,master,171,[],public,https://resemble-ai.github.io/chatterbox_demopage/,False,12,8,1,2025-06-13T14:42:01Z,['Python'],325672,1,SoTA open-source TTS,https://resemble-ai.github.io/chatterbox_demopage/,12662,1606,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.0,0.9999999999999994,0.0,0,0.0,0.0,0.0
simstudioai/sim,simstudioai,sim,14934,1863,14934,Open-source platform to build and deploy AI agent workflows.,2025-01-05T22:47:49Z,2025-09-14T01:16:19Z,2025-09-15T00:41:50Z,TypeScript,273787,True,True,False,False,True,False,False,False,False,Apache License 2.0,main,73,"['agent-workflow', 'agentic-workflow', 'agents', 'ai', 'aiagents', 'anthropic', 'artificial-intelligence', 'automation', 'chatbot', 'deepseek', 'gemini', 'low-code', 'nextjs', 'no-code', 'openai', 'rag', 'react', 'typescript']",public,https://www.sim.ai,False,18,895,0,,"['TypeScript', 'MDX', 'CSS', 'Python', 'Shell', 'Smarty', 'JavaScript', 'Dockerfile', 'PLpgSQL']",11146250,2,Open-source platform to build and deploy AI agent workflows.,https://www.sim.ai,14774,1835,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,1.0,0.9999999999999994,0.0,0,0.8275862068965519,0.8110344827586206,0.8110344827586207
oraios/serena,oraios,serena,12348,843,12348,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),2025-03-23T22:35:24Z,2025-09-14T11:22:15Z,2025-09-15T00:23:04Z,Python,4046,True,True,False,False,True,False,False,False,False,MIT License,main,82,"['agent', 'ai', 'ai-coding', 'claude', 'claude-code', 'language-server', 'llms', 'mcp-server', 'programming', 'vibe-coding']",public,,False,30,705,3,2025-08-15T12:01:05Z,"['Python', 'AL', 'Elixir', 'JavaScript', 'Erlang', 'Nix', 'Lua', 'Ruby', 'HTML', 'Dart', 'HCL', 'Shell', 'Zig', 'R', 'Dockerfile', 'Swift', 'C#', 'Rust', 'Java', 'Clojure', 'Kotlin', 'TypeScript', 'PHP', 'Go']",1667420,3,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),,12124,832,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0.9137931034482761,0.9137931034482758,0.9137931034482758
getzep/graphiti,getzep,graphiti,18103,1635,18103,Build Real-Time Knowledge Graphs for AI Agents,2024-08-08T22:08:30Z,2025-09-14T05:44:26Z,2025-09-15T00:20:53Z,Python,11284,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,136,"['agents', 'graph', 'llms', 'rag']",public,https://help.getzep.com/graphiti,False,30,226,30,2025-09-14T05:44:26Z,"['Python', 'Dockerfile', 'Makefile']",821731,4,Build Real-Time Knowledge Graphs for AI Agents,https://help.getzep.com/graphiti,18019,1618,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,1.0,0,0.8965517241379313,0.8965517241379309,0.8965517241379308
11cafe/jaaz,11cafe,jaaz,4501,365,4501,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,2025-06-01T14:53:08Z,2025-09-12T01:20:26Z,2025-09-15T00:42:58Z,TypeScript,9987,True,True,True,False,True,False,False,False,False,Other,main,36,"['agent', 'ai', 'aiagent', 'aiimage', 'aiimagegenerator', 'aitool', 'aitools', 'canva', 'comfyui', 'flux', 'stable-diffusion']",public,https://jaaz.app,False,11,586,27,2025-08-09T13:58:14Z,"['TypeScript', 'Python', 'JavaScript', 'CSS', 'HTML']",591747,5,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,https://jaaz.app,4313,354,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
rowboatlabs/rowboat,rowboatlabs,rowboat,3467,317,3467,AI-powered multi-agent builder,2025-01-13T09:30:40Z,2025-09-14T19:14:18Z,2025-09-14T15:01:53Z,TypeScript,74293,True,True,True,True,True,False,False,False,False,Apache License 2.0,main,45,[],public,https://www.rowboatlabs.com,False,5,385,0,,"['TypeScript', 'MDX', 'Python', 'CSS', 'Dockerfile', 'Shell', 'JavaScript']",2193117,6,AI-powered multi-agent builder,https://www.rowboatlabs.com,3466,317,0,0,0,0,0,0,,0,0,,0,0.0,1.0,0,0.7763975155279503,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7075862068965515,0.7075862068965516
0x4m4/hexstrike-ai,0x4m4,hexstrike-ai,2894,699,2894,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",2025-07-10T17:53:18Z,2025-09-09T17:11:44Z,2025-09-15T00:14:44Z,Python,2111,True,True,True,False,True,False,False,False,False,None,master,14,"['0x4m4', 'ai', 'ai-agents', 'ai-cybersecurity', 'ai-hacking', 'ai-penetration-testing', 'ai-security-tool', 'artificial-intelligence', 'ctf-tools', 'generative-ai', 'hexstrike', 'kali-linux', 'kali-tools', 'llm', 'llm-integration', 'mcp', 'mcp-server', 'mcp-tools', 'pentesting', 'pentesting-tools']",public,https://www.hexstrike.com/,False,2,56,0,,['Python'],874400,7,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",https://www.hexstrike.com/,2791,675,0,0,0,0,0,0,,0,0,,0,1.0,0.0,0,0.22360248447204925,1.0,0.0,0.0,0,0.7413793103448276,0.6839080459770112,0.6839080459770112
VectifyAI/PageIndex,VectifyAI,PageIndex,2496,191,2496,📄🧠 PageIndex: Document Index for Reasoning-based RAG,2025-04-01T10:53:54Z,2025-09-03T17:10:33Z,2025-09-15T00:31:32Z,Python,23053,True,True,False,False,True,False,False,False,False,MIT License,main,19,"['ai', 'llm', 'rag', 'reasoning', 'retrieval']",public,https://pageindex.ai,False,3,115,0,,"['Python', 'Jupyter Notebook']",91015,8,📄🧠 PageIndex: Document Index for Reasoning-based RAG,https://pageindex.ai,2464,190,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
Mooncake-Labs/pg_mooncake,Mooncake-Labs,pg_mooncake,1674,46,1674,Real-time analytics on Postgres tables,2024-09-05T04:45:58Z,2025-09-13T01:06:14Z,2025-09-14T21:33:07Z,Rust,631,True,True,False,False,True,False,False,False,False,MIT License,main,12,"['analytics', 'columnstore', 'delta-lake', 'iceberg', 'lakehouse', 'parquet', 'postgresql']",public,https://mooncake.dev/,False,14,82,3,2025-02-12T01:11:04Z,"['Rust', 'Makefile', 'Dockerfile', 'Shell']",29801,9,Real-time analytics on Postgres tables,https://mooncake.dev/,1665,46,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.49999999999999994,0.9999999999999994,1.0,0,0.5862068965517242,0.5862068965517241,0.5862068965517242
nari-labs/dia,nari-labs,dia,18363,1565,18363,A TTS model capable of generating ultra-realistic dialogue in one pass.,2025-04-19T07:15:57Z,2025-07-06T14:48:04Z,2025-09-15T00:35:03Z,Python,588,True,False,False,False,True,False,False,False,False,Apache License 2.0,main,82,"['ai', 'open-weight', 'text-to-speech']",public,,False,21,29,0,,['Python'],118610,10,A TTS model capable of generating ultra-realistic dialogue in one pass.,https://narilabs.org/,18336,1559,0,0,0,0,0,0,,0,0,,0,1.0,1.0,0,1.0,0.8749999999999999,0.9999999999999994,0.0,0,0.7241379310344829,0.7241379310344825,0.7241379310344824
