repository,llm_preference_score,innovation_reasoning,innovation_category,market_potential,technical_sophistication,community_strength,llm_rank
resemble-ai/chatterbox,0.265,Standard development project with incremental value; Strong community traction indicates product-market fit; Healthy contributor base with collaborative development,general_innovation,0.3,0.2,0.6,68
simstudioai/sim,0.46,Moderate innovation potential with promising features; Strong community traction indicates product-market fit; Healthy contributor base with collaborative development; Operating in high-growth technology sector,ai_innovation,0.7,0.3,0.6,37
oraios/serena,0.335,Standard development project with incremental value; Strong community traction indicates product-market fit; Healthy contributor base with collaborative development,developer_innovation,0.6,0.3,0.3,57
getzep/graphiti,0.33999999999999997,Standard development project with incremental value; Strong community traction indicates product-market fit; Healthy contributor base with collaborative development; Operating in high-growth technology sector,ai_innovation,0.3,0.2,0.3,56
11cafe/jaaz,0.265,Standard development project with incremental value,general_innovation,0.1,0.5,0.0,68
rowboatlabs/rowboat,0.31,Standard development project with incremental value; Operating in high-growth technology sector,ai_innovation,0.1,0.3,0.0,62
0x4m4/hexstrike-ai,0.41000000000000003,Moderate innovation potential with promising features; Healthy contributor base with collaborative development; Operating in high-growth technology sector,ai_innovation,0.4,0.5,0.3,43
VectifyAI/PageIndex,0.21,Standard development project with incremental value,general_innovation,0.1,0.2,0.0,72
Mooncake-Labs/pg_mooncake,0.2,Standard development project with incremental value,general_innovation,0.1,0.3,0.0,73
nari-labs/dia,0.265,Standard development project with incremental value; Strong community traction indicates product-market fit; Healthy contributor base with collaborative development,general_innovation,0.3,0.2,0.3,68
twentyhq/twenty,0.5350000000000001,Moderate innovation potential with promising features; Massive community adoption demonstrates market validation; High fork count shows active developer ecosystem; Positioned as disruptive alternative to incumbent solutions,general_innovation,0.5,0.0,1.0,23
boundaryml/baml,0.59,Moderate innovation potential with promising features; Strong community traction indicates product-market fit; Operating in high-growth technology sector,ai_innovation,0.4,0.3,0.7,17
stagewise-io/stagewise,0.30000000000000004,Standard development project with incremental value; Strong community traction indicates product-market fit,platform_innovation,0.4,0.2,0.3,63
M4THYOU/TokenDagger,0.245,Standard development project with incremental value; Operating in high-growth technology sector,ai_innovation,0.0,0.2,0.0,70
CopilotKit/CopilotKit,0.39,Standard development project with incremental value; Massive community adoption demonstrates market validation; High fork count shows active developer ecosystem; Operating in high-growth technology sector,ai_innovation,0.3,0.2,0.6,47
onkernel/kernel-images,0.32499999999999996,Standard development project with incremental value,general_innovation,0.0,0.2,0.0,60
superglue-ai/superglue,0.32499999999999996,Standard development project with incremental value,developer_innovation,0.4,0.2,0.0,60
Operative-Sh/web-eval-agent,0.28500000000000003,Standard development project with incremental value,general_innovation,0.1,0.3,0.0,66
yichuan-w/LEANN,0.28,Standard development project with incremental value,general_innovation,0.1,0.3,0.0,67
