rank,repository,final_score,llm_preference_score,technical_execution_score,market_adoption_score,team_resilience_score,funding_gate_multiplier,funding_risk_level,reason_1,reason_2,reason_3,investment_brief,methodology_version,analysis_date,stars,forks,description,language,website
1,onkernel/kernel-images,1.0,0.32499999999999996,0,0.7241379310344829,0.0,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,Ranked #1 with 1.000 final score representing exceptional investment opportunity. Browsers-as-a-service for automations and web agents... Community validation: 523 stars. No institutional funding detected - prime BSV target.,1.0,2025-09-14,523,27,Browsers-as-a-service for automations and web agents,TypeScript,https://www.onkernel.com
2,robotmcp/ros-mcp-server,0.9606334841628958,0.31,0,0.7241379310344829,0.0,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,Ranked #2 with 0.961 final score representing exceptional investment opportunity. Connect AI models like Claude & GPT with robots using MCP and ROS.... Community validation: 414 stars. No institutional funding detected - prime BSV target.,1.0,2025-09-14,414,70,Connect AI models like Claude & GPT with robots using MCP and ROS.,TypeScript,
3,M4THYOU/TokenDagger,0.7900452488687784,0.245,0,0.7241379310344829,0.0,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,Ranked #3 with 0.790 final score representing strong investment candidate. High-Performance Implementation of OpenAI's TikToken.... Community validation: 451 stars. No institutional funding detected - prime BSV target.,1.0,2025-09-14,451,10,High-Performance Implementation of OpenAI's TikToken.,JavaScript,
4,sirius-db/sirius,0.0,0.125,0,0.0,0.0,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,Ranked #4 with 0.000 final score representing moderate investment interest. nan... Community validation: 436 stars. No institutional funding detected - prime BSV target.,1.0,2025-09-14,436,11,,JavaScript,https://www.sirius-db.com
5,resemble-ai/chatterbox,,0.265,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #5 with nan final score representing moderate investment interest. SoTA open-source TTS... Community validation: 12,662 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,12662,1606,SoTA open-source TTS,TypeScript,https://resemble-ai.github.io/chatterbox_demopage/
6,simstudioai/sim,,0.46,0,0.8275862068965519,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #6 with nan final score representing moderate investment interest. Open-source platform to build and deploy AI agent workflows.... Community validation: 14,774 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,14774,1835,Open-source platform to build and deploy AI agent workflows.,Rust,https://www.sim.ai
7,oraios/serena,,0.335,0,0.706896551724138,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #7 with nan final score representing moderate investment interest. A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & ... Community validation: 12,124 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,12124,832,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations),Rust,
8,getzep/graphiti,,0.33999999999999997,0,0.8965517241379313,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #8 with nan final score representing moderate investment interest. Build Real-Time Knowledge Graphs for AI Agents... Community validation: 18,019 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,18019,1618,Build Real-Time Knowledge Graphs for AI Agents,TypeScript,https://help.getzep.com/graphiti
9,11cafe/jaaz,,0.265,0,0.0,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #9 with nan final score representing moderate investment interest. The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manu... Community validation: 4,313 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,4313,354,The world's first open-source multimodal creative assistant  This is a substitute for Canva and Manus that prioritizes privacy and is usable locally.,TypeScript,https://jaaz.app
10,rowboatlabs/rowboat,,0.31,0,0.7241379310344829,,1.0,low_risk_unfunded,High innovation potential detected,Strong technical execution,No institutional funding detected,"Ranked #10 with nan final score representing moderate investment interest. AI-powered multi-agent builder... Community validation: 3,466 stars. No institutional funding detected - prime BSV target.",1.0,2025-09-14,3466,317,AI-powered multi-agent builder,Go,https://www.rowboatlabs.com
